Name,Organization,Email,WhatsApp,Notes
Aga Khan Development Network,Aga Khan Development Network,kenya@akdn.org,+254203665000,"Sponsors; Islamic fair; Imported on 01/09, 02/09"
Airtel Kenya,Airtel Kenya,customer.care@ke.airtel.com,+254734444444,"Sponsors; Islamic fair; Imported on 01/09, 02/09"
Al-Ansar Islamic College,Al-Ansar Islamic College,,+254722518654,"Universities And Colleges; Islamic fair; Imported on 01/09, 02/09"
Al-Hidayah Islamic Bookstore,Al-Hidayah Islamic Bookstore,,+254722898456,"Bookshop Publishers; Islamic fair; Imported on 01/09, 02/09"
Al-Islam Magazine,Al-Islam Magazine,,+2547332547526,"Media exchange; Islamic fair; Imported on 01/09, 02/09"
Al-Markaz Islamic Publications,Al-Markaz Islamic Publications,,+254733678901,"Bookshop Publishers; Islamic fair; Imported on 01/09, 02/09"
Al-Munawwarah,Al-Munawwarah,info@almunawwarah.ac.ke,+254720211495,"Madrasa Schools; Islamic fair; Imported on 01/09, 02/09"
Al-Noor Islamic Institute,Al-Noor Islamic Institute,,+254733445667,"Madrasa Schools; Islamic fair; Imported on 01/09, 02/09"
Bilal Muslim Mission,Bilal Muslim Mission,,+254722208555,"Universities And Colleges; Islamic fair; Imported on 01/09, 02/09"
British Council Kenya,British Council Kenya,kenya.enquiries@britishcouncil.org,+254202885000,"Sponsors; Islamic fair; Imported on 01/09, 02/09"
Cambridge Assessment Kenya,Cambridge Assessment Kenya,kenya@cambridgeinternational.org,+254204446764,"Sponsors; Islamic fair; Imported on 01/09, 02/09"
Central Kenya Muslim Youth Network,Central Kenya Muslim Youth Network,,+254733456789,"Key stakeholders; Islamic fair; Imported on 01/09, 02/09"
Coast Muslim Youth Association,Coast Muslim Youth Association,,+254722678901,"Key stakeholders; Islamic fair; Imported on 01/09, 02/09"
Commission for University Education,Commission for University Education,info@cue.or.ke,+254202723350,"Key stakeholders; Islamic fair; Imported on 01/09, 02/09"
